account_id,year,month
A0082,2025,10
A0083,2025,8
A0083,2025,9
A0083,2025,10
A0084,2025,10
A0085,2025,10
A0086,2025,10
A0087,2025,8
A0087,2025,9
A0087,2025,10
A0088,2025,8
A0088,2025,9
A0088,2025,10
A0089,2025,8
A0089,2025,9
A0089,2025,10
A0090,2025,10
A0091,2025,9
A0092,2025,9
A0092,2025,10
A0093,2025,9
A0093,2025,10
A0094,2025,9
A0094,2025,10
A0095,2025,7
A0095,2025,8
A0095,2025,9
A0095,2025,10
A0096,2025,9
A0096,2025,10
A0097,2025,9
A0097,2025,10
A0098,2025,9
A0098,2025,10
A0099,2025,8
A0099,2025,9
A0099,2025,10
A0100,2025,7
A0100,2025,8
A0100,2025,9
A0100,2025,10
A0101,2025,9
A0101,2025,10
A0102,2025,7
A0102,2025,8
A0102,2025,9
A0102,2025,10
A0103,2025,7
A0104,2025,9
A0105,2025,9
A0105,2025,10
A0106,2025,7
A0106,2025,8
A0106,2025,9
A0106,2025,10
A0107,2025,8
A0108,2025,9
A0108,2025,10
A0109,2025,10
A0110,2025,9
A0111,2025,7
A0111,2025,8
A0111,2025,9
A0111,2025,10
A0112,2025,7
A0112,2025,8
A0112,2025,9
A0112,2025,10
A0113,2025,10
A0114,2025,10
A0115,2025,7
A0115,2025,8
A0116,2025,8
A0117,2025,10
A0118,2025,9
A0118,2025,10
A0119,2025,10
A0120,2025,8
A0120,2025,9
A0120,2025,10
A0121,2025,8
A0121,2025,9
A0121,2025,10
A0122,2025,8
A0122,2025,9
A0122,2025,10
A0123,2025,10
A0124,2025,9
A0124,2025,10
A0125,2025,9
A0125,2025,10
A0126,2025,10
A0127,2025,7
A0128,2025,8
A0128,2025,9
A0128,2025,10
A0129,2025,10
A0130,2025,7
A0130,2025,8
A0130,2025,9
A0130,2025,10
A0131,2025,8
A0131,2025,9
A0131,2025,10
A0132,2025,9
A0132,2025,10
A0133,2025,8
A0133,2025,9
A0133,2025,10
A0134,2025,10
A0135,2025,7
A0135,2025,8
A0135,2025,9
A0135,2025,10
A0136,2025,9
A0136,2025,10
A0137,2025,9
A0137,2025,10
A0138,2025,10
A0139,2025,8
A0139,2025,9
A0139,2025,10
A0140,2025,7
A0140,2025,8
A0140,2025,9
A0140,2025,10
A0141,2025,10
A0142,2025,9
A0143,2025,10
A0144,2025,9
A0145,2025,10
A0146,2025,9
A0146,2025,10
A0147,2025,7
A0147,2025,8
A0147,2025,9
A0147,2025,10
A0148,2025,9
A0148,2025,10
A0149,2025,9
A0149,2025,10
A0150,2025,7
A0150,2025,8
A0150,2025,9
A0150,2025,10
A0151,2025,8
A0151,2025,9
A0151,2025,10
A0152,2025,8
A0152,2025,9
A0152,2025,10
A0153,2025,8
A0153,2025,9
A0153,2025,10
A0154,2025,9
A0155,2025,8
A0155,2025,9
A0155,2025,10
A0156,2025,10
A0157,2025,8
A0157,2025,9
A0158,2025,9
A0158,2025,10
A0159,2025,8
A0159,2025,9
A0159,2025,10
A0160,2025,7
A0160,2025,8
A0160,2025,9
A0160,2025,10
