gl_balance_id,year,month,branch_id,ledger_code,ledger_name,pool_name,amount
GL_BranchOpex_202507_B001_6230,2025,7,B001,6230,Branch Supplies,BranchOpex,3595.76
GL_BranchOpex_202507_B002_6200,2025,7,B002,6200,Branch Salaries,BranchOpex,211940.6
GL_BranchOpex_202507_B002_6210,2025,7,B002,6210,Branch Rent,BranchOpex,77069.31
GL_BranchOpex_202507_B002_6220,2025,7,B002,6220,Branch Utilities,BranchOpex,57801.98
GL_BranchOpex_202507_B002_6230,2025,7,B002,6230,Branch Supplies,BranchOpex,38534.65
GL_BranchOpex_202507_B003_6200,2025,7,B003,6200,Branch Salaries,BranchOpex,41444.74
GL_BranchOpex_202507_B003_6210,2025,7,B003,6210,Branch Rent,BranchOpex,15070.81
GL_BranchOpex_202507_B003_6220,2025,7,B003,6220,Branch Utilities,BranchOpex,11303.11
GL_BranchOpex_202507_B003_6230,2025,7,B003,6230,Branch Supplies,BranchOpex,7535.41
GL_BranchOpex_202507_B004_6200,2025,7,B004,6200,Branch Salaries,BranchOpex,30291.8
GL_BranchOpex_202507_B004_6210,2025,7,B004,6210,Branch Rent,BranchOpex,11015.2
GL_BranchOpex_202507_B004_6220,2025,7,B004,6220,Branch Utilities,BranchOpex,8261.4
GL_BranchOpex_202507_B004_6230,2025,7,B004,6230,Branch Supplies,BranchOpex,5507.6
GL_BranchOpex_202507_B005_6200,2025,7,B005,6200,Branch Salaries,BranchOpex,188801.59
GL_BranchOpex_202507_B005_6210,2025,7,B005,6210,Branch Rent,BranchOpex,68655.12
GL_BranchOpex_202507_B005_6220,2025,7,B005,6220,Branch Utilities,BranchOpex,51491.34
GL_BranchOpex_202507_B005_6230,2025,7,B005,6230,Branch Supplies,BranchOpex,34327.56
GL_BranchOpex_202507_B006_6200,2025,7,B006,6200,Branch Salaries,BranchOpex,86422.51
GL_BranchOpex_202507_B006_6210,2025,7,B006,6210,Branch Rent,BranchOpex,31426.37
GL_BranchOpex_202507_B006_6220,2025,7,B006,6220,Branch Utilities,BranchOpex,23569.77
GL_BranchOpex_202507_B006_6230,2025,7,B006,6230,Branch Supplies,BranchOpex,15713.18
GL_BranchOpex_202507_B007_6200,2025,7,B007,6200,Branch Salaries,BranchOpex,83199.25
GL_BranchOpex_202507_B007_6210,2025,7,B007,6210,Branch Rent,BranchOpex,30254.27
GL_BranchOpex_202507_B007_6220,2025,7,B007,6220,Branch Utilities,BranchOpex,22690.7
GL_BranchOpex_202507_B007_6230,2025,7,B007,6230,Branch Supplies,BranchOpex,15127.14
GL_BranchOpex_202507_B008_6200,2025,7,B008,6200,Branch Salaries,BranchOpex,45472.16
GL_BranchOpex_202507_B008_6210,2025,7,B008,6210,Branch Rent,BranchOpex,16535.33
GL_BranchOpex_202507_B008_6220,2025,7,B008,6220,Branch Utilities,BranchOpex,12401.5
GL_BranchOpex_202507_B008_6230,2025,7,B008,6230,Branch Supplies,BranchOpex,8267.67
GL_BranchOpex_202507_B009_6200,2025,7,B009,6200,Branch Salaries,BranchOpex,150531.49
GL_BranchOpex_202507_B009_6210,2025,7,B009,6210,Branch Rent,BranchOpex,54738.72
GL_BranchOpex_202507_B009_6220,2025,7,B009,6220,Branch Utilities,BranchOpex,41054.04
GL_BranchOpex_202507_B009_6230,2025,7,B009,6230,Branch Supplies,BranchOpex,27369.36
GL_BranchOpex_202507_B010_6200,2025,7,B010,6200,Branch Salaries,BranchOpex,189386.03
GL_BranchOpex_202507_B010_6210,2025,7,B010,6210,Branch Rent,BranchOpex,68867.65
GL_BranchOpex_202507_B010_6220,2025,7,B010,6220,Branch Utilities,BranchOpex,51650.74
GL_BranchOpex_202507_B010_6230,2025,7,B010,6230,Branch Supplies,BranchOpex,34433.82
GL_BranchOpex_202507_B011_6200,2025,7,B011,6200,Branch Salaries,BranchOpex,78755.2
GL_BranchOpex_202507_B011_6210,2025,7,B011,6210,Branch Rent,BranchOpex,28638.25
GL_BranchOpex_202507_B011_6220,2025,7,B011,6220,Branch Utilities,BranchOpex,21478.69
GL_BranchOpex_202507_B011_6230,2025,7,B011,6230,Branch Supplies,BranchOpex,14319.13
GL_BranchOpex_202507_B012_6200,2025,7,B012,6200,Branch Salaries,BranchOpex,31370.91
GL_BranchOpex_202507_B012_6210,2025,7,B012,6210,Branch Rent,BranchOpex,11407.6
GL_BranchOpex_202507_B012_6220,2025,7,B012,6220,Branch Utilities,BranchOpex,8555.7
GL_BranchOpex_202507_B012_6230,2025,7,B012,6230,Branch Supplies,BranchOpex,5703.83
GL_DigitalPlatform_202507_HQ_6300,2025,7,HQ,6300,Cloud Hosting,DigitalPlatform,290951.59
GL_DigitalPlatform_202507_HQ_6310,2025,7,HQ,6310,Software Licenses,DigitalPlatform,174570.95
GL_DigitalPlatform_202507_HQ_6320,2025,7,HQ,6320,DevOps & Monitoring,DigitalPlatform,116380.63
GL_DigitalPlatform_202507_B001_6300,2025,7,B001,6300,Cloud Hosting,DigitalPlatform,639.82
GL_DigitalPlatform_202507_B001_6310,2025,7,B001,6310,Software Licenses,DigitalPlatform,383.89
GL_DigitalPlatform_202507_B001_6320,2025,7,B001,6320,DevOps & Monitoring,DigitalPlatform,255.93
GL_DigitalPlatform_202507_B002_6300,2025,7,B002,6300,Cloud Hosting,DigitalPlatform,1275.01
GL_DigitalPlatform_202507_B002_6310,2025,7,B002,6310,Software Licenses,DigitalPlatform,765.0
GL_DigitalPlatform_202507_B002_6320,2025,7,B002,6320,DevOps & Monitoring,DigitalPlatform,510.0
GL_DigitalPlatform_202507_B003_6300,2025,7,B003,6300,Cloud Hosting,DigitalPlatform,7341.63
GL_DigitalPlatform_202507_B003_6310,2025,7,B003,6310,Software Licenses,DigitalPlatform,4404.98
GL_DigitalPlatform_202507_B003_6320,2025,7,B003,6320,DevOps & Monitoring,DigitalPlatform,2936.65
GL_DigitalPlatform_202507_B004_6300,2025,7,B004,6300,Cloud Hosting,DigitalPlatform,3476.78
GL_DigitalPlatform_202507_B004_6310,2025,7,B004,6310,Software Licenses,DigitalPlatform,2086.07
GL_DigitalPlatform_202507_B004_6320,2025,7,B004,6320,DevOps & Monitoring,DigitalPlatform,1390.71
GL_DigitalPlatform_202507_B005_6300,2025,7,B005,6300,Cloud Hosting,DigitalPlatform,27889.8
GL_DigitalPlatform_202507_B005_6310,2025,7,B005,6310,Software Licenses,DigitalPlatform,16733.88
GL_DigitalPlatform_202507_B005_6320,2025,7,B005,6320,DevOps & Monitoring,DigitalPlatform,11155.92
GL_DigitalPlatform_202507_B006_6300,2025,7,B006,6300,Cloud Hosting,DigitalPlatform,49223.77
GL_DigitalPlatform_202507_B006_6310,2025,7,B006,6310,Software Licenses,DigitalPlatform,29534.26
GL_DigitalPlatform_202507_B006_6320,2025,7,B006,6320,DevOps & Monitoring,DigitalPlatform,19689.51
GL_DigitalPlatform_202507_B007_6300,2025,7,B007,6300,Cloud Hosting,DigitalPlatform,6169.52
GL_DigitalPlatform_202507_B007_6310,2025,7,B007,6310,Software Licenses,DigitalPlatform,3701.71
GL_DigitalPlatform_202507_B007_6320,2025,7,B007,6320,DevOps & Monitoring,DigitalPlatform,2467.81
GL_DigitalPlatform_202507_B008_6300,2025,7,B008,6300,Cloud Hosting,DigitalPlatform,31215.07
GL_DigitalPlatform_202507_B008_6310,2025,7,B008,6310,Software Licenses,DigitalPlatform,18729.04
GL_DigitalPlatform_202507_B008_6320,2025,7,B008,6320,DevOps & Monitoring,DigitalPlatform,12486.03
GL_DigitalPlatform_202507_B009_6300,2025,7,B009,6300,Cloud Hosting,DigitalPlatform,17680.21
GL_DigitalPlatform_202507_B009_6310,2025,7,B009,6310,Software Licenses,DigitalPlatform,10608.13
GL_DigitalPlatform_202507_B009_6320,2025,7,B009,6320,DevOps & Monitoring,DigitalPlatform,7072.08
GL_DigitalPlatform_202507_B010_6300,2025,7,B010,6300,Cloud Hosting,DigitalPlatform,3595.48
GL_DigitalPlatform_202507_B010_6310,2025,7,B010,6310,Software Licenses,DigitalPlatform,2157.29
GL_DigitalPlatform_202507_B010_6320,2025,7,B010,6320,DevOps & Monitoring,DigitalPlatform,1438.19
GL_DigitalPlatform_202507_B011_6300,2025,7,B011,6300,Cloud Hosting,DigitalPlatform,30652.82
GL_DigitalPlatform_202507_B011_6310,2025,7,B011,6310,Software Licenses,DigitalPlatform,18391.69
GL_DigitalPlatform_202507_B011_6320,2025,7,B011,6320,DevOps & Monitoring,DigitalPlatform,12261.13
GL_DigitalPlatform_202507_B012_6300,2025,7,B012,6300,Cloud Hosting,DigitalPlatform,14807.8
GL_DigitalPlatform_202507_B012_6310,2025,7,B012,6310,Software Licenses,DigitalPlatform,8884.68
GL_DigitalPlatform_202507_B012_6320,2025,7,B012,6320,DevOps & Monitoring,DigitalPlatform,5923.16
GL_ATMNetwork_202507_HQ_6400,2025,7,HQ,6400,ATM Maintenance,ATMNetwork,7123.45
GL_ATMNetwork_202507_HQ_6410,2025,7,HQ,6410,Interchange Fees,ATMNetwork,7123.45
GL_ATMNetwork_202507_HQ_6420,2025,7,HQ,6420,Cash Handling,ATMNetwork,3561.73
GL_ATMNetwork_202507_B001_6400,2025,7,B001,6400,ATM Maintenance,ATMNetwork,2650.71
GL_ATMNetwork_202507_B001_6410,2025,7,B001,6410,Interchange Fees,ATMNetwork,2650.71
GL_ATMNetwork_202507_B001_6420,2025,7,B001,6420,Cash Handling,ATMNetwork,1325.36
GL_ATMNetwork_202507_B002_6400,2025,7,B002,6400,ATM Maintenance,ATMNetwork,25929.95
GL_ATMNetwork_202507_B002_6410,2025,7,B002,6410,Interchange Fees,ATMNetwork,25929.95
GL_ATMNetwork_202507_B002_6420,2025,7,B002,6420,Cash Handling,ATMNetwork,12964.97
GL_ATMNetwork_202507_B003_6400,2025,7,B003,6400,ATM Maintenance,ATMNetwork,9380.47
GL_ATMNetwork_202507_B003_6410,2025,7,B003,6410,Interchange Fees,ATMNetwork,9380.47
GL_ATMNetwork_202507_B003_6420,2025,7,B003,6420,Cash Handling,ATMNetwork,4690.23
GL_ATMNetwork_202507_B004_6400,2025,7,B004,6400,ATM Maintenance,ATMNetwork,2758.29
GL_ATMNetwork_202507_B004_6410,2025,7,B004,6410,Interchange Fees,ATMNetwork,2758.29
GL_ATMNetwork_202507_B004_6420,2025,7,B004,6420,Cash Handling,ATMNetwork,1379.14
GL_ATMNetwork_202507_B005_6400,2025,7,B005,6400,ATM Maintenance,ATMNetwork,852.65
GL_ATMNetwork_202507_B005_6410,2025,7,B005,6410,Interchange Fees,ATMNetwork,852.65
GL_ATMNetwork_202507_B005_6420,2025,7,B005,6420,Cash Handling,ATMNetwork,426.33
GL_ATMNetwork_202507_B006_6400,2025,7,B006,6400,ATM Maintenance,ATMNetwork,858.5
GL_ATMNetwork_202507_B006_6410,2025,7,B006,6410,Interchange Fees,ATMNetwork,858.5
GL_ATMNetwork_202507_B006_6420,2025,7,B006,6420,Cash Handling,ATMNetwork,429.25
GL_ATMNetwork_202507_B007_6400,2025,7,B007,6400,ATM Maintenance,ATMNetwork,13400.81
GL_ATMNetwork_202507_B007_6410,2025,7,B007,6410,Interchange Fees,ATMNetwork,13400.81
GL_ATMNetwork_202507_B007_6420,2025,7,B007,6420,Cash Handling,ATMNetwork,6700.41
GL_ATMNetwork_202507_B008_6400,2025,7,B008,6400,ATM Maintenance,ATMNetwork,50571.27
GL_ATMNetwork_202507_B008_6410,2025,7,B008,6410,Interchange Fees,ATMNetwork,50571.27
GL_ATMNetwork_202507_B008_6420,2025,7,B008,6420,Cash Handling,ATMNetwork,25285.64
GL_ATMNetwork_202507_B009_6400,2025,7,B009,6400,ATM Maintenance,ATMNetwork,21432.63
GL_ATMNetwork_202507_B009_6410,2025,7,B009,6410,Interchange Fees,ATMNetwork,21432.63
GL_ATMNetwork_202507_B009_6420,2025,7,B009,6420,Cash Handling,ATMNetwork,10716.31
GL_ATMNetwork_202507_B010_6400,2025,7,B010,6400,ATM Maintenance,ATMNetwork,30423.24
GL_ATMNetwork_202507_B010_6410,2025,7,B010,6410,Interchange Fees,ATMNetwork,30423.24
GL_ATMNetwork_202507_B010_6420,2025,7,B010,6420,Cash Handling,ATMNetwork,15211.62
GL_ATMNetwork_202507_B011_6400,2025,7,B011,6400,ATM Maintenance,ATMNetwork,16479.07
GL_ATMNetwork_202507_B011_6410,2025,7,B011,6410,Interchange Fees,ATMNetwork,16479.07
GL_ATMNetwork_202507_B011_6420,2025,7,B011,6420,Cash Handling,ATMNetwork,8239.54
GL_ATMNetwork_202507_B012_6400,2025,7,B012,6400,ATM Maintenance,ATMNetwork,18898.16
GL_ATMNetwork_202507_B012_6410,2025,7,B012,6410,Interchange Fees,ATMNetwork,18898.16
GL_ATMNetwork_202507_B012_6420,2025,7,B012,6420,Cash Handling,ATMNetwork,9449.09
GL_OperationsShared_202507_HQ_6500,2025,7,HQ,6500,Finance & HR,OperationsShared,348653.68
GL_OperationsShared_202507_HQ_6510,2025,7,HQ,6510,Compliance,OperationsShared,193696.49
GL_OperationsShared_202507_HQ_6520,2025,7,HQ,6520,IT Shared Services,OperationsShared,232435.79
GL_OperationsShared_202507_B001_6500,2025,7,B001,6500,Finance & HR,OperationsShared,49927.81
GL_OperationsShared_202507_B001_6510,2025,7,B001,6510,Compliance,OperationsShared,27737.67
GL_OperationsShared_202507_B001_6520,2025,7,B001,6520,IT Shared Services,OperationsShared,33285.21
GL_OperationsShared_202507_B002_6500,2025,7,B002,6500,Finance & HR,OperationsShared,1348.8
GL_OperationsShared_202507_B002_6510,2025,7,B002,6510,Compliance,OperationsShared,749.33
GL_OperationsShared_202507_B002_6520,2025,7,B002,6520,IT Shared Services,OperationsShared,899.2
GL_OperationsShared_202507_B003_6500,2025,7,B003,6500,Finance & HR,OperationsShared,23821.49
GL_OperationsShared_202507_B003_6510,2025,7,B003,6510,Compliance,OperationsShared,13234.16
GL_OperationsShared_202507_B003_6520,2025,7,B003,6520,IT Shared Services,OperationsShared,15880.99
GL_OperationsShared_202507_B004_6500,2025,7,B004,6500,Finance & HR,OperationsShared,24559.96
GL_OperationsShared_202507_B004_6510,2025,7,B004,6510,Compliance,OperationsShared,13644.42
GL_OperationsShared_202507_B004_6520,2025,7,B004,6520,IT Shared Services,OperationsShared,16373.3
GL_OperationsShared_202507_B005_6500,2025,7,B005,6500,Finance & HR,OperationsShared,12147.8
GL_OperationsShared_202507_B005_6510,2025,7,B005,6510,Compliance,OperationsShared,6748.78
GL_OperationsShared_202507_B005_6520,2025,7,B005,6520,IT Shared Services,OperationsShared,8098.53
GL_OperationsShared_202507_B006_6500,2025,7,B006,6500,Finance & HR,OperationsShared,1949.89
GL_OperationsShared_202507_B006_6510,2025,7,B006,6510,Compliance,OperationsShared,1083.27
GL_OperationsShared_202507_B006_6520,2025,7,B006,6520,IT Shared Services,OperationsShared,1299.93
GL_OperationsShared_202507_B007_6500,2025,7,B007,6500,Finance & HR,OperationsShared,1593.68
GL_OperationsShared_202507_B007_6510,2025,7,B007,6510,Compliance,OperationsShared,885.38
GL_OperationsShared_202507_B007_6520,2025,7,B007,6520,IT Shared Services,OperationsShared,1062.45
GL_OperationsShared_202507_B008_6500,2025,7,B008,6500,Finance & HR,OperationsShared,5678.63
GL_OperationsShared_202507_B008_6510,2025,7,B008,6510,Compliance,OperationsShared,3154.8
GL_OperationsShared_202507_B008_6520,2025,7,B008,6520,IT Shared Services,OperationsShared,3785.75
GL_OperationsShared_202507_B009_6500,2025,7,B009,6500,Finance & HR,OperationsShared,29178.45
GL_OperationsShared_202507_B009_6510,2025,7,B009,6510,Compliance,OperationsShared,16210.25
GL_OperationsShared_202507_B009_6520,2025,7,B009,6520,IT Shared Services,OperationsShared,19452.3
GL_OperationsShared_202507_B010_6500,2025,7,B010,6500,Finance & HR,OperationsShared,12802.37
GL_OperationsShared_202507_B010_6510,2025,7,B010,6510,Compliance,OperationsShared,7112.43
GL_OperationsShared_202507_B010_6520,2025,7,B010,6520,IT Shared Services,OperationsShared,8534.92
GL_OperationsShared_202507_B011_6500,2025,7,B011,6500,Finance & HR,OperationsShared,19518.03
GL_OperationsShared_202507_B011_6510,2025,7,B011,6510,Compliance,OperationsShared,10843.35
GL_OperationsShared_202507_B011_6520,2025,7,B011,6520,IT Shared Services,OperationsShared,13012.02
GL_OperationsShared_202507_B012_6500,2025,7,B012,6500,Finance & HR,OperationsShared,49908.88
GL_OperationsShared_202507_B012_6510,2025,7,B012,6510,Compliance,OperationsShared,27727.15
GL_OperationsShared_202507_B012_6520,2025,7,B012,6520,IT Shared Services,OperationsShared,33272.59
GL_ServiceFees_202507_HQ_4300,2025,7,HQ,4300,Deposit Account Service Charges,ServiceFees,33316.48
GL_ServiceFees_202507_HQ_4305,2025,7,HQ,4305,Overdraft Fees,ServiceFees,14278.49
GL_ServiceFees_202507_B001_4300,2025,7,B001,4300,Deposit Account Service Charges,ServiceFees,50581.16
GL_ServiceFees_202507_B001_4305,2025,7,B001,4305,Overdraft Fees,ServiceFees,21677.64
GL_ServiceFees_202507_B002_4300,2025,7,B002,4300,Deposit Account Service Charges,ServiceFees,27346.72
GL_ServiceFees_202507_B002_4305,2025,7,B002,4305,Overdraft Fees,ServiceFees,11720.02
GL_ServiceFees_202507_B003_4300,2025,7,B003,4300,Deposit Account Service Charges,ServiceFees,55511.84
GL_ServiceFees_202507_B003_4305,2025,7,B003,4305,Overdraft Fees,ServiceFees,23790.79
GL_ServiceFees_202507_B004_4300,2025,7,B004,4300,Deposit Account Service Charges,ServiceFees,8657.03
GL_ServiceFees_202507_B004_4305,2025,7,B004,4305,Overdraft Fees,ServiceFees,3710.16
GL_ServiceFees_202507_B005_4300,2025,7,B005,4300,Deposit Account Service Charges,ServiceFees,4126.9
GL_ServiceFees_202507_B005_4305,2025,7,B005,4305,Overdraft Fees,ServiceFees,1768.67
GL_ServiceFees_202507_B006_4300,2025,7,B006,4300,Deposit Account Service Charges,ServiceFees,36074.08
GL_ServiceFees_202507_B006_4305,2025,7,B006,4305,Overdraft Fees,ServiceFees,15460.32
GL_ServiceFees_202507_B007_4300,2025,7,B007,4300,Deposit Account Service Charges,ServiceFees,47397.83
GL_ServiceFees_202507_B007_4305,2025,7,B007,4305,Overdraft Fees,ServiceFees,20313.36
GL_ServiceFees_202507_B008_4300,2025,7,B008,4300,Deposit Account Service Charges,ServiceFees,66221.36
GL_ServiceFees_202507_B008_4305,2025,7,B008,4305,Overdraft Fees,ServiceFees,28380.58
GL_ServiceFees_202507_B009_4300,2025,7,B009,4300,Deposit Account Service Charges,ServiceFees,6737.82
GL_ServiceFees_202507_B009_4305,2025,7,B009,4305,Overdraft Fees,ServiceFees,2887.64
GL_ServiceFees_202507_B010_4300,2025,7,B010,4300,Deposit Account Service Charges,ServiceFees,36503.61
GL_ServiceFees_202507_B010_4305,2025,7,B010,4305,Overdraft Fees,ServiceFees,15644.41
GL_ServiceFees_202507_B011_4300,2025,7,B011,4300,Deposit Account Service Charges,ServiceFees,18003.46
GL_ServiceFees_202507_B011_4305,2025,7,B011,4305,Overdraft Fees,ServiceFees,7715.77
GL_ServiceFees_202507_B012_4300,2025,7,B012,4300,Deposit Account Service Charges,ServiceFees,61535.12
GL_ServiceFees_202507_B012_4305,2025,7,B012,4305,Overdraft Fees,ServiceFees,26372.18
GL_CardInterchange_202507_HQ_4310,2025,7,HQ,4310,Card Interchange Income,CardInterchange,5173.76
GL_CardInterchange_202507_B001_4310,2025,7,B001,4310,Card Interchange Income,CardInterchange,131098.84
GL_CardInterchange_202507_B002_4310,2025,7,B002,4310,Card Interchange Income,CardInterchange,5522.25
GL_CardInterchange_202507_B003_4310,2025,7,B003,4310,Card Interchange Income,CardInterchange,30121.33
GL_CardInterchange_202507_B004_4310,2025,7,B004,4310,Card Interchange Income,CardInterchange,24477.15
GL_CardInterchange_202507_B005_4310,2025,7,B005,4310,Card Interchange Income,CardInterchange,592.57
GL_CardInterchange_202507_B006_4310,2025,7,B006,4310,Card Interchange Income,CardInterchange,5562.25
GL_CardInterchange_202507_B007_4310,2025,7,B007,4310,Card Interchange Income,CardInterchange,9755.97
GL_CardInterchange_202507_B008_4310,2025,7,B008,4310,Card Interchange Income,CardInterchange,42461.58
GL_CardInterchange_202507_B009_4310,2025,7,B009,4310,Card Interchange Income,CardInterchange,109462.63
GL_CardInterchange_202507_B010_4310,2025,7,B010,4310,Card Interchange Income,CardInterchange,65225.71
GL_CardInterchange_202507_B011_4310,2025,7,B011,4310,Card Interchange Income,CardInterchange,1878.42
GL_CardInterchange_202507_B012_4310,2025,7,B012,4310,Card Interchange Income,CardInterchange,94494.14
GL_BrokerageFees_202507_HQ_4320,2025,7,HQ,4320,Brokerage Commissions,BrokerageFees,19530.61
GL_BrokerageFees_202507_HQ_4325,2025,7,HQ,4325,Advisory Fees,BrokerageFees,13020.41
GL_BrokerageFees_202507_B001_4320,2025,7,B001,4320,Brokerage Commissions,BrokerageFees,3895.76
GL_BrokerageFees_202507_B001_4325,2025,7,B001,4325,Advisory Fees,BrokerageFees,2597.17
GL_BrokerageFees_202507_B002_4320,2025,7,B002,4320,Brokerage Commissions,BrokerageFees,20621.67
GL_BrokerageFees_202507_B002_4325,2025,7,B002,4325,Advisory Fees,BrokerageFees,13747.78
GL_BrokerageFees_202507_B003_4320,2025,7,B003,4320,Brokerage Commissions,BrokerageFees,13096.55
GL_BrokerageFees_202507_B003_4325,2025,7,B003,4325,Advisory Fees,BrokerageFees,8731.03
GL_BrokerageFees_202507_B004_4320,2025,7,B004,4320,Brokerage Commissions,BrokerageFees,2826.38
GL_BrokerageFees_202507_B004_4325,2025,7,B004,4325,Advisory Fees,BrokerageFees,1884.25
GL_BrokerageFees_202507_B005_4320,2025,7,B005,4320,Brokerage Commissions,BrokerageFees,6975.64
GL_BrokerageFees_202507_B005_4325,2025,7,B005,4325,Advisory Fees,BrokerageFees,4650.42
GL_BrokerageFees_202507_B006_4320,2025,7,B006,4320,Brokerage Commissions,BrokerageFees,3207.25
GL_BrokerageFees_202507_B006_4325,2025,7,B006,4325,Advisory Fees,BrokerageFees,2138.17
GL_BrokerageFees_202507_B007_4320,2025,7,B007,4320,Brokerage Commissions,BrokerageFees,3330.5
GL_BrokerageFees_202507_B007_4325,2025,7,B007,4325,Advisory Fees,BrokerageFees,2220.33
GL_BrokerageFees_202507_B008_4320,2025,7,B008,4320,Brokerage Commissions,BrokerageFees,57108.53
GL_BrokerageFees_202507_B008_4325,2025,7,B008,4325,Advisory Fees,BrokerageFees,38072.35
GL_BrokerageFees_202507_B009_4320,2025,7,B009,4320,Brokerage Commissions,BrokerageFees,31793.35
GL_BrokerageFees_202507_B009_4325,2025,7,B009,4325,Advisory Fees,BrokerageFees,21195.57
